Au	hasElectronAffinity	ElectronAffinity3
Au	hasElectronegativity	Electronegativity4
Au	hasFamily	Family11
Au	hasHardness	Hardness2
Au	hasHeat	Heat2
Au	hasIonization	Ionization2
Au	hasMeltingPoint	MeltingPoint6
Au	hasModulus	Modulus3
Au	hasPeriod	Period6
Au	hasRadius	Radius2
Au	hasState	StateSolid
Au	hasWeight	Weight7
Au	type	NamedIndividual
Au	type	nobleMetals
Au	type	transitionMetals
Azide	hasBondType	double
Azide	hasBondType	single
Azide	subClassOf	GroupsContainingNitrogen
Azide	type	Azide
Azide	type	NamedIndividual
Azo	hasBondType	double
Azo	hasBondType	single
Azo	type	AzoCompound
Azo	type	NamedIndividual
AzoCompound	subClassOf	GroupsContainingNitrogen
B	hasAbundance	Abundance2
B	hasBoilingPoint	BoilingPoint8
B	hasConductivity	Conductivity1
B	hasDensity	Density2
B	hasElectronAffinity	ElectronAffinity2
B	hasElectronegativity	Electronegativity4
B	hasFamily	Family13
B	hasHeat	Heat5
B	hasIonization	Ionization2
B	hasMeltingPoint	MeltingPoint7
B	hasModulus	Modulus4
B	hasPeriod	Period2
B	hasRadius	Radius2
B	hasState	StateSolid
B	hasWeight	Weight2
B	isPartOf	Borinate
B	isPartOf	Borino
B	isPartOf	Boronate
B	isPartOf	Borono
B	type	NamedIndividual
B	type	metalloids
Ba	hasAbundance	Abundance2
Ba	hasBoilingPoint	BoilingPoint7
Ba	hasConductivity	Conductivity1
Ba	hasDensity	Density2
Ba	hasElectronAffinity	ElectronAffinity1
Ba	hasElectronegativity	Electronegativity1
Ba	hasFamily	Family2
Ba	hasHeat	Heat3
Ba	hasIonization	Ionization2
Ba	hasMeltingPoint	MeltingPoint5
Ba	hasModulus	Modulus1
Ba	hasPeriod	Period6
Ba	hasRadius	Radius3
Ba	hasState	StateSolid
Ba	hasWeight	Weight6
Ba	type	NamedIndividual
Ba	type	alkalineEarthMetals
Ba	type	nonferrousLightMetals
Be	hasAbundance	Abundance2
Be	hasBoilingPoint	BoilingPoint7
Be	hasConductivity	Conductivity3
Be	hasDensity	Density2
Be	hasElectronegativity	Electronegativity4
Be	hasFamily	Family2
Be	hasHardness	Hardness3
Be	hasHeat	Heat5
Be	hasIonization	Ionization2
Be	hasMeltingPoint	MeltingPoint7
Be	hasModulus	Modulus2
Be	hasPeriod	Period2
Be	hasRadius	Radius2
Be	hasState	StateSolid
Be	hasWeight	Weight2
Be	type	NamedIndividual
Be	type	alkalineEarthMetals
Be	type	rareLightMetal
BenzeneDerivative	subClassOf	Hydrocarbons
Bh	hasAbundance	Abundance1
Bh	hasFamily	Family7
Bh	hasPeriod	Period7
Bh	hasWeight	Weight8
Bh	type	NamedIndividual
Bh	type	transitionMetals
Bi	hasAbundance	Abundance2
Bi	hasBoilingPoint	BoilingPoint7
Bi	hasConductivity	Conductivity1
Bi	hasDensity	Density3
Bi	hasElectronAffinity	ElectronAffinity2
Bi	hasElectronegativity	Electronegativity3
Bi	hasFamily	Family15
Bi	hasHardness	Hardness3
Bi	hasHeat	Heat2
Bi	hasIonization	Ionization2
Bi	hasMeltingPoint	MeltingPoint4
Bi	hasModulus	Modulus1
Bi	hasPeriod	Period6
Bi	hasRadius	Radius2
Bi	hasState	StateSolid
Bi	hasWeight	Weight7
Bi	type	NamedIndividual
Bi	type	nonferrousHeavyMetals
Bi	type	postTransitionMetals
Bk	hasAbundance	Abundance1
Bk	hasConductivity	Conductivity1
Bk	hasDensity	Density3
Bk	hasElectronegativity	Electronegativity2
Bk	hasFamily	Family3
Bk	hasIonization	Ionization2
Bk	hasMeltingPoint	MeltingPoint6
Bk	hasPeriod	Period7
Bk	hasState	StateSolid
Bk	hasWeight	Weight8
Bk	type	NamedIndividual
Bk	type	actinides
Bk	type	rareRadioactiveMetals
BoilingPoint	subPropertyOf	topDataProperty
BoilingPoint1	domain	element
BoilingPoint1	range	element
BoilingPoint1	subPropertyOf	topObjectProperty
BoilingPoint1	type	ObjectProperty
BoilingPoint1	type	SymmetricProperty
BoilingPoint1	type	TransitiveProperty
BoilingPoint2	domain	element
BoilingPoint2	range	element
BoilingPoint2	subPropertyOf	topObjectProperty
BoilingPoint2	type	ObjectProperty
BoilingPoint2	type	SymmetricProperty
BoilingPoint2	type	TransitiveProperty
BoilingPoint3	domain	element
BoilingPoint3	range	element
BoilingPoint3	subPropertyOf	topObjectProperty
BoilingPoint3	type	ObjectProperty
BoilingPoint3	type	SymmetricProperty
BoilingPoint3	type	TransitiveProperty
BoilingPoint4	domain	element
BoilingPoint4	range	element
BoilingPoint4	subPropertyOf	topObjectProperty
BoilingPoint4	type	ObjectProperty
BoilingPoint4	type	SymmetricProperty
BoilingPoint4	type	TransitiveProperty
BoilingPoint5	domain	element
BoilingPoint5	range	element
BoilingPoint5	subPropertyOf	topObjectProperty
BoilingPoint5	type	ObjectProperty
BoilingPoint5	type	SymmetricProperty
BoilingPoint5	type	TransitiveProperty
BoilingPoint6	domain	element
BoilingPoint6	range	element
